change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
Disappeared - Short-lived,0000005272,AIG (American International Group),"2027 Early Careers: Analyst, Claims - Juris Doctor - United States, Jersey City & New York City","Jersey City, Hudson County",76998.94,76998.94,2026-09-03,2026-09-04,Carrier,active
Disappeared - Short-lived,0000005272,AIG (American International Group),"2027 Early Careers: Summer Intern, Technology - United States, Charlotte, NC, Houston, TX, & Jersey City, NJ","Jersey City, Hudson County",47533.54,47533.54,2026-09-03,2026-09-04,Carrier,active
Disappeared - Short-lived,0000005272,AIG (American International Group),"2027 Early Careers: Summer Intern, Claims - United States, Atlanta, GA & Jersey City, NJ","Jersey City, Hudson County",53178.36,53178.36,2026-09-03,2026-09-04,Carrier,active
New Posting,0000896159,Chubb Limited,Software Engineering Lead,"Jersey City, Hudson County",166100,240900,2026-09-03,2026-09-04,Carrier,active
Disappeared,0000037808,MetLife,Lead ServiceNow Platform Engineer,"Grand Central, Manhattan",148389.75,148389.75,2026-07-30,2026-09-04,Carrier,active
