change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0000005272,AIG (American International Group),"2027 Early Careers: Analyst, Underwriting - United States, Multiple Locations","Grand Central, Manhattan",91590.35,91590.35,2026-09-24,2026-09-25,Carrier,active
New Posting,0000005272,AIG (American International Group),"2027 Early Careers: Analyst, Underwriting - United States, Multiple Locations","Five Corners, Hudson County",91387.15,91387.15,2026-09-24,2026-09-25,Carrier,active
New Posting,0000005272,AIG (American International Group),"Complex Claims Director, Excess","Jersey City, Hudson County",156147.92,156147.92,2026-09-24,2026-09-25,Carrier,active
New Posting,0000005272,AIG (American International Group),"Complex Claims Director, Excess","Grand Central, Manhattan",195116.97,195116.97,2026-09-24,2026-09-25,Carrier,active
New Posting,0000005272,AIG (American International Group),"Complex Claims Director, Excess","Five Corners, Hudson County",194683.7,194683.7,2026-09-24,2026-09-25,Carrier,active
New Posting,0000896159,Chubb Limited,"VP, Talent & Organization Transformation","Grand Central, Manhattan",209486.12,209486.12,2026-09-24,2026-09-25,Carrier,active
Disappeared - Short-lived,0000037808,MetLife,Lead TBM Financial Consultant,"Grand Central, Manhattan",159034.92,159034.92,2026-09-05,2026-09-25,Carrier,active
New Posting,0001273813,ASSURED GUARANTY LTD,Product Software Developer - Front-End - Summer 2027,"Grand Central, Manhattan",83155.88,83155.88,2026-09-24,2026-09-25,Carrier,active
New Posting,0001273813,ASSURED GUARANTY LTD,Product Software Developer - Back-End - Summer 2027,"Grand Central, Manhattan",77422.92,77422.92,2026-09-24,2026-09-25,Carrier,active
New Posting,0002000208,Kepler Group Ltd,"Senior Analyst, Activation","Grand Central, Manhattan",100200.73,100200.73,2026-09-24,2026-09-25,MGA/Broker,active
New Posting,0000062709,"MARSH & MCLENNAN COMPANIES, INC.",Oliver Wyman - Trading Strategy & Risk - Energy - Principal,"Grand Central, Manhattan",169672.77,169672.77,2026-09-24,2026-09-25,MGA/Broker,active
New Posting,0000062709,"MARSH & MCLENNAN COMPANIES, INC.",Oliver Wyman - Senior Consultant (Generalist),"Grand Central, Manhattan",205229.08,205229.08,2026-09-24,2026-09-25,MGA/Broker,active
