change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
Disappeared - Short-lived,0000037808,MetLife,eDiscovery Project Manager,"Grand Central, Manhattan",122442.04,122442.04,2026-07-15,2026-07-19,Carrier,active
New Posting,0002000208,Kepler Group Ltd,"Manager, Data Strategy & Analytics","New York City, New York",94500,115500,2026-07-19,2026-07-19,MGA/Broker,active
