change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0002000208,Kepler Group Ltd,"Manager, Learning & Development","Grand Central, Manhattan",122840.76,122840.76,2026-08-08,2026-08-10,MGA/Broker,active
Disappeared - Short-lived,0001126328,PRINCIPAL FINANCIAL GROUP INC,"Assistant Director - Engineering, Asset Management Digital Experience","Grand Central, Manhattan",290601.47,290601.47,2026-05-29,2026-08-10,Carrier,active
