change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
Disappeared,0000005272,AIG (American International Group),Business Data Analyst,"Jersey City, Hudson County",101593.44,101593.44,2026-07-19,2026-09-13,Carrier,active
New Posting,0000896159,Chubb Limited,Product Owner,"Summit Avenue, Hudson County",156362.5,156362.5,2026-09-12,2026-09-13,Carrier,active
New Posting,0000896159,Chubb Limited,Product Owner,"Jersey City, Hudson County",112200,162800,2026-09-12,2026-09-13,Carrier,active
Disappeared - Short-lived,0000896159,Chubb Limited,Software Engineering Lead,"Summit Avenue, Hudson County",152622.28,152622.28,2026-09-04,2026-09-13,Carrier,active
