change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0000896159,Chubb Limited,"VP, Global Transformation Programs","Chelsea and Clinton, Manhattan",231016.97,231016.97,2026-08-16,2026-08-17,Carrier,active
New Posting,0000037808,MetLife,Lead Microsoft Power Platform Engineer,"Grand Central, Manhattan",192814,192814,2026-08-16,2026-08-17,Carrier,active
New Posting,0000037808,MetLife,Technology Strategy & Portfolio Leader,"Grand Central, Manhattan",238230.7,238230.7,2026-08-16,2026-08-17,Carrier,active
New Posting,0000062709,"MARSH & MCLENNAN COMPANIES, INC.","Data Strategy Lead, Digital Client Experience (DCX) - Marsh","Grand Central, Manhattan",193773.48,193773.48,2026-08-16,2026-08-17,MGA/Broker,active
