change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0000005272,AIG (American International Group),"Associate General Counsel, Cyber & Privacy Legal (New York)","Grand Central, Manhattan",170,200,2026-07-24,2026-08-25,Carrier,active
New Posting,0000005272,AIG (American International Group),Senior Cybersecurity & Regulatory Counsel (New York),"Grand Central, Manhattan",170,200,2026-07-24,2026-08-25,Carrier,active
Disappeared - Short-lived,0000896159,Chubb Limited,"VP, Global Transformation Programs","Chelsea and Clinton, Manhattan",231016.97,231016.97,2026-08-16,2026-08-25,Carrier,active
Disappeared - Short-lived,0002040491,Ategrity Specialty Insurance Co Holdings,Finance Project Manager,"New York City, New York",96205.45,96205.45,2026-08-23,2026-08-25,Carrier,active
Disappeared - Short-lived,0000062709,"MARSH & MCLENNAN COMPANIES, INC.",Senior Project Manager,"New York City, New York",127468.41,127468.41,2026-08-20,2026-08-25,MGA/Broker,active
