change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0000005272,AIG (American International Group),"2027 Early Careers: Summer Intern, Claims - Juris Doctor - United States, Jersey City & New York City","Jersey City, Hudson County",50283.24,50283.24,2026-09-03,2026-09-03,Carrier,active
New Posting,0000005272,AIG (American International Group),"2027 Early Careers: Summer Intern, Technology - United States, Charlotte, NC, Houston, TX, & Jersey City, NJ","Jersey City, Hudson County",47533.54,47533.54,2026-09-03,2026-09-03,Carrier,active
New Posting,0000005272,AIG (American International Group),"2027 Early Careers: Summer Intern, Claims - United States, Atlanta, GA & Jersey City, NJ","Jersey City, Hudson County",53178.36,53178.36,2026-09-03,2026-09-03,Carrier,active
New Posting,0000005272,AIG (American International Group),"2027 Early Careers: Analyst, Claims - Juris Doctor - United States, Jersey City & New York City","Jersey City, Hudson County",76998.94,76998.94,2026-09-03,2026-09-03,Carrier,active
Disappeared - Short-lived,0000354190,Arthur J. Gallagher & Co.,Area Vice President,"Grand Central, Manhattan",104632.99,104632.99,2026-09-01,2026-09-03,MGA/Broker,active
Disappeared - Short-lived,0002019505,"Health In Tech, Inc.","Senior VP, Digital Health & Medical Education","Grand Central, Manhattan",137623.55,137623.55,2026-09-01,2026-09-03,MGA/Broker,active
Disappeared - Short-lived,0002000208,Kepler Group Ltd,"Senior Director, Product Marketing","Grand Central, Manhattan",216939.86,216939.86,2026-09-01,2026-09-03,MGA/Broker,active
