change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0000011544,W.R. Berkley Corporation,General Adjuster,"Grand Central, Manhattan",104759.5,104759.5,2026-09-10,2026-09-11,Carrier,active
Disappeared,0002000208,Kepler Group Ltd,"Director, Strategy & Activation","New York City, New York",140000.0,160000.0,2026-06-03,2026-09-11,MGA/Broker,active
Disappeared,0002000208,Kepler Group Ltd,"Senior Director, Product Marketing","New York City, New York",160000.0,170000.0,2026-07-24,2026-09-11,MGA/Broker,active
