change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0000005272,AIG (American International Group),Structured Settlements Business Analyst,"Jersey City, Hudson County",78000,97000,2026-07-17,2026-07-17,Carrier,active
New Posting,0000037808,MetLife,Lead Architect - Enterprise & AI Enablement,"Grand Central, Manhattan",199485.9,199485.9,2026-07-16,2026-07-17,Carrier,active
New Posting,0000011544,W.R. Berkley Corporation,Reserve Underwriter,"Grand Central, Manhattan",179224.34,179224.34,2026-07-16,2026-07-17,Carrier,active
New Posting,0002000208,Kepler Group Ltd,"Manager, SEO","New York City, New York",90000,110000,2026-07-16,2026-07-17,MGA/Broker,active
New Posting,0002000208,Kepler Group Ltd,"Senior Analyst, Retail Media Strategy & Activation","New York City, New York",73500,85000,2026-07-01,2026-07-17,MGA/Broker,active
Disappeared - Short-lived,0002000208,Kepler Group Ltd,"Associate Director, Strategy & Activation","New York City, New York",117000.0,130000.0,2026-05-28,2026-07-17,MGA/Broker,active
New Posting,0001126328,PRINCIPAL FINANCIAL GROUP INC,"Senior Software Engineer, Asset Management Digital Experience","Grand Central, Manhattan",269222.9,269222.9,2026-07-16,2026-07-17,Carrier,active
Disappeared - Short-lived,0001126328,PRINCIPAL FINANCIAL GROUP INC,"Senior Software Engineer II, Asset Management Digital Experience","Grand Central, Manhattan",285147.66,285147.66,2026-06-10,2026-07-17,Carrier,active
