change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
Disappeared - Short-lived,0000005272,AIG (American International Group),"Vice President, Principal Solutions Architect, GenAI (Jersey City)","North Bergen, Hudson County",235123.0,287372.0,2026-07-24,2026-08-04,Carrier,active
Disappeared - Short-lived,0000005272,AIG (American International Group),"Associate General Counsel, Cyber & Privacy Legal (New York)","Grand Central, Manhattan",170.0,200.0,2026-07-24,2026-08-04,Carrier,active
Disappeared - Short-lived,0000005272,AIG (American International Group),Senior Cybersecurity & Regulatory Counsel (New York),"Grand Central, Manhattan",170.0,200.0,2026-07-24,2026-08-04,Carrier,active
Disappeared - Short-lived,0000037808,MetLife,"AVP, Legal Affairs Innovation Project Manager","Grand Central, Manhattan",200784.34,200784.34,2026-06-26,2026-08-04,Carrier,active
Disappeared - Short-lived,0000011544,W.R. Berkley Corporation,Principal Data Scientist (Jersey City),"North Bergen, Hudson County",200.0,300.0,2026-07-31,2026-08-04,Carrier,active
Disappeared - Short-lived,0002019505,"Health In Tech, Inc.","Behavioral Health Clinical Quality Improvement Specialist, LCSW (Onsite 3 Days/Week)","Chelsea and Clinton, Manhattan",120743.38,120743.38,2026-07-01,2026-08-04,MGA/Broker,active
