change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0000005272,AIG (American International Group),Mass Tort and Complex Casualty - Senior Claims Adjuster,"Jersey City, Hudson County",72500,96700,2026-09-18,2026-09-18,Carrier,active
Disappeared - Short-lived,0000005272,AIG (American International Group),Business Intelligence Delivery Leader (Finance),"Jersey City, Hudson County",114100.12,114100.12,2026-09-15,2026-09-18,Carrier,active
Disappeared,0000896159,Chubb Limited,"Associate, Global Transformation Programs","Jersey City, Hudson County",136800.0,199200.0,2026-08-18,2026-09-18,Carrier,active
Disappeared - Short-lived,0000896159,Chubb Limited,Product Owner,"Jersey City, Hudson County",112200.0,162800.0,2026-09-12,2026-09-18,Carrier,active
