change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
Disappeared - Short-lived,0000005272,AIG (American International Group),Mass Tort and Complex Casualty - Senior Adjuster,"Jersey City, Hudson County",76000.0,100000.0,2026-06-06,2026-07-27,Carrier,active
Disappeared - Short-lived,0000005272,AIG (American International Group),Structured Settlements Business Analyst,"Jersey City, Hudson County",78000.0,97000.0,2026-07-17,2026-07-27,Carrier,active
New Posting,0000037808,MetLife,"Director, Enterprise Engagement & Enablement","Grand Central, Manhattan",166047.17,166047.17,2026-07-26,2026-07-27,Carrier,active
