change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
Disappeared - Short-lived,0000896159,Chubb Limited,Product Owner,"Summit Avenue, Hudson County",156362.5,156362.5,2026-09-12,2026-09-21,Carrier,active
Disappeared - Short-lived,0001268105,Arch Capital Group,"Manager, Data Engineer (Remote)","New York City, New York",177367.56,177367.56,2026-09-20,2026-09-21,Carrier/Reinsurer,active
Disappeared - Short-lived,0000947484,ARCH CAPITAL GROUP LTD.,"Manager, Data Engineer (Remote)","New York City, New York",177367.56,177367.56,2026-09-20,2026-09-21,Carrier,active
