change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0000037808,MetLife,"SVP, Head of Global Infrastructure","Grand Central, Manhattan",315375.72,315375.72,2026-08-12,2026-08-13,Carrier,active
Disappeared - Short-lived,0000037808,MetLife,"Director, Enterprise Engagement & Enablement","Grand Central, Manhattan",166047.17,166047.17,2026-07-26,2026-08-13,Carrier,active
