change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
Disappeared - Short-lived,0000005272,AIG (American International Group),"Associate General Counsel, Cyber & Privacy Legal (New York)","Grand Central, Manhattan",170.0,200.0,2026-07-24,2026-08-29,Carrier,active
Disappeared - Short-lived,0000005272,AIG (American International Group),Senior Cybersecurity & Regulatory Counsel (New York),"Grand Central, Manhattan",170.0,200.0,2026-07-24,2026-08-29,Carrier,active
New Posting,0000037808,MetLife,Senior Salesforce Analyst,"Grand Central, Manhattan",182049.66,182049.66,2026-08-28,2026-08-29,Carrier,active
New Posting,0000037808,MetLife,"Director, Sales Technology","Grand Central, Manhattan",247348.22,247348.22,2026-08-28,2026-08-29,Carrier,active
New Posting,0000037808,MetLife,"Senior Developer, Sales Technology","Grand Central, Manhattan",161898.1,161898.1,2026-08-28,2026-08-29,Carrier,active
New Posting,0000037808,MetLife,Lead Salesforce Developer,"Grand Central, Manhattan",179242.11,179242.11,2026-08-28,2026-08-29,Carrier,active
New Posting,0000037808,MetLife,Salesforce Developer,"Grand Central, Manhattan",147307.02,147307.02,2026-08-28,2026-08-29,Carrier,active
New Posting,0000037808,MetLife,"Tech Lead, Sales Technology","Grand Central, Manhattan",324883.28,324883.28,2026-08-28,2026-08-29,Carrier,active
New Posting,0000037808,MetLife,"Developer, Sales Technology","Grand Central, Manhattan",128360.99,128360.99,2026-08-28,2026-08-29,Carrier,active
New Posting,0000037808,MetLife,"Sr. Scrum Lead, Sales Technology","Grand Central, Manhattan",165282.02,165282.02,2026-08-28,2026-08-29,Carrier,active
New Posting,0000037808,MetLife,Senior Salesforce Developer,"Grand Central, Manhattan",182397.05,182397.05,2026-08-28,2026-08-29,Carrier,active
