change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
Disappeared - Short-lived,0000005272,AIG (American International Group),"2027 Early Careers: Summer Intern, Claims - Juris Doctor - United States, Jersey City & New York City","Jersey City, Hudson County",50283.24,50283.24,2026-09-03,2026-09-05,Carrier,active
New Posting,0000896159,Chubb Limited,Software Engineering Lead,"Summit Avenue, Hudson County",152622.28,152622.28,2026-09-04,2026-09-05,Carrier,active
Disappeared - Short-lived,0000037808,MetLife,"SVP, Head of Global Infrastructure","Grand Central, Manhattan",315375.72,315375.72,2026-08-30,2026-09-05,Carrier,active
Disappeared,0000011544,W.R. Berkley Corporation,Ultra High Net Worth Underwriter,"Grand Central, Manhattan",179658.31,179658.31,2026-05-23,2026-09-05,Carrier,active
