change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0000005272,AIG (American International Group),Senior Claims Adjuster - Casualty Coverage and Mass Tort,"Five Corners, Hudson County",125835.06,125835.06,2026-07-19,2026-07-20,Carrier,active
New Posting,0000005272,AIG (American International Group),Business Data Analyst,"Jersey City, Hudson County",101593.44,101593.44,2026-07-19,2026-07-20,Carrier,active
Disappeared - Short-lived,0000005272,AIG (American International Group),Mass Tort and Complex Casualty - Claims Adjuster,"Jersey City, Hudson County",56000.0,89000.0,2026-06-17,2026-07-20,Carrier,active
Disappeared - Short-lived,0000896159,Chubb Limited,"VP, Transformation Management Office","Chelsea and Clinton, Manhattan",229120.39,229120.39,2026-07-11,2026-07-20,Carrier,active
Disappeared - Short-lived,0002000208,Kepler Group Ltd,"Director, Strategic Planning","New York City, New York",154000.0,176000.0,2026-05-23,2026-07-20,MGA/Broker,active
Disappeared - Short-lived,0002000208,Kepler Group Ltd,"Director, Communication & Media Planning","New York City, New York",140000.0,160000.0,2026-06-12,2026-07-20,MGA/Broker,active
