change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
Disappeared - Short-lived,0000896159,Chubb Limited,Executive Assistant,"Chelsea and Clinton, Manhattan",129029.52,129029.52,2026-07-09,2026-07-18,Carrier,active
New Posting,0000011544,W.R. Berkley Corporation,Ultra High Net Worth Underwriter,"Grand Central, Manhattan",179658.31,179658.31,2026-05-23,2026-07-18,Carrier,active
Disappeared - Short-lived,0000011544,W.R. Berkley Corporation,Reserve Underwriter,"Grand Central, Manhattan",179224.34,179224.34,2026-07-16,2026-07-18,Carrier,active
Disappeared - Short-lived,0002019505,"Health In Tech, Inc.","Behavioral Health Clinical Quality Improvement Specialist, LCSW (Onsite 3 Days/Week)","Chelsea and Clinton, Manhattan",120743.38,120743.38,2026-07-01,2026-07-18,MGA/Broker,active
