change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0000005272,AIG (American International Group),Mass Tort and Complex Casualty - Complex Claims Director,"Five Corners, Hudson County",152031.9,152031.9,2026-09-25,2026-09-26,Carrier,active
New Posting,0000005272,AIG (American International Group),"Senior Underwriter, Financial Institutions, Financial Lines","Grand Central, Manhattan",126509.13,126509.13,2026-09-25,2026-09-26,Carrier,active
Disappeared - Short-lived,0000005272,AIG (American International Group),Assistant Vice President - Mass Tort and Complex Casualty,"Jersey City, Hudson County",125000.0,173000.0,2026-09-12,2026-09-26,Carrier,active
Disappeared - Short-lived,0000005272,AIG (American International Group),"2027 Early Careers: Analyst, Underwriting - United States, Multiple Locations","Jersey City, Hudson County",73297.93,73297.93,2026-09-23,2026-09-26,Carrier,active
Disappeared - Short-lived,0000005272,AIG (American International Group),"Complex Claims Director, Excess","Jersey City, Hudson County",156147.92,156147.92,2026-09-24,2026-09-26,Carrier,active
Disappeared - Short-lived,0000005272,AIG (American International Group),"Complex Claims Director, Excess","Grand Central, Manhattan",195116.97,195116.97,2026-09-24,2026-09-26,Carrier,active
Disappeared - Short-lived,0000896159,Chubb Limited,"VP, Talent & Organization Transformation","Grand Central, Manhattan",209486.12,209486.12,2026-09-24,2026-09-26,Carrier,active
New Posting,0000037808,MetLife,"HR Digital Solutions Advisor, Absence & ER","Grand Central, Manhattan",174706.84,174706.84,2026-09-25,2026-09-26,Carrier,active
Disappeared - Short-lived,0000037808,MetLife,Program Manager - Risk Technology,"Grand Central, Manhattan",194952.36,194952.36,2026-09-23,2026-09-26,Carrier,active
Disappeared - Short-lived,0001273813,ASSURED GUARANTY LTD,Product Software Developer - Back-End - Summer 2027,"Grand Central, Manhattan",77422.92,77422.92,2026-09-24,2026-09-26,Carrier,active
Disappeared - Short-lived,0001273813,ASSURED GUARANTY LTD,Product Software Developer - Front-End - Summer 2027,"Grand Central, Manhattan",83155.88,83155.88,2026-09-24,2026-09-26,Carrier,active
Disappeared - Short-lived,0002000208,Kepler Group Ltd,"Senior Analyst, Activation","Grand Central, Manhattan",100200.73,100200.73,2026-09-24,2026-09-26,MGA/Broker,active
Disappeared - Short-lived,0000062709,"MARSH & MCLENNAN COMPANIES, INC.",Oliver Wyman - Trading Strategy & Risk - Energy - Principal,"Grand Central, Manhattan",169672.77,169672.77,2026-09-24,2026-09-26,MGA/Broker,active
Disappeared - Short-lived,0000062709,"MARSH & MCLENNAN COMPANIES, INC.",Oliver Wyman - Senior Consultant (Generalist),"Grand Central, Manhattan",205229.08,205229.08,2026-09-24,2026-09-26,MGA/Broker,active
New Posting,0001126328,PRINCIPAL FINANCIAL GROUP INC,Intern - Private Infrastructure (Summer 2027),"Grand Central, Manhattan",128018.08,128018.08,2026-09-25,2026-09-26,Carrier,active
