change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0002000208,Kepler Group Ltd,"Senior Director, Product Marketing (New York)","Grand Central, Manhattan",176,204,2026-08-01,2026-09-01,MGA/Broker,active
Disappeared,0002000208,Kepler Group Ltd,"Director, Data Strategy & Analytics, Retail","New York City, New York",154000.0,176000.0,2026-05-31,2026-09-01,MGA/Broker,active
Disappeared,0002000208,Kepler Group Ltd,"Manager, Data Strategy & Analytics","New York City, New York",94500.0,115500.0,2026-05-31,2026-09-01,MGA/Broker,active
Disappeared,0002000208,Kepler Group Ltd,"Associate VP, Product Manager","New York City, New York",212750.0,224250.0,2026-07-24,2026-09-01,MGA/Broker,active
