change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0000005272,AIG (American International Group),Mass Tort and Complex Casualty - Claims Adjuster,"Jersey City, Hudson County",56000,89000,2026-06-17,2026-07-21,Carrier,active
Disappeared - Short-lived,0000005272,AIG (American International Group),Senior Claims Adjuster - Casualty Coverage and Mass Tort,"Five Corners, Hudson County",125835.06,125835.06,2026-07-19,2026-07-21,Carrier,active
