change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
Disappeared - Short-lived,0000896159,Chubb Limited,"VP, Transformation Management Office","Chelsea and Clinton, Manhattan",229120.39,229120.39,2026-07-11,2026-08-02,Carrier,active
New Posting,0002019505,"Health In Tech, Inc.","Behavioral Health Clinical Quality Improvement Specialist, LCSW (Onsite 3 Days/Week)","Chelsea and Clinton, Manhattan",120743.38,120743.38,2026-07-01,2026-08-02,MGA/Broker,active
Disappeared - Short-lived,0002000208,Kepler Group Ltd,Marketing Director,"New York City, New York",154000.0,176000.0,2026-03-27,2026-08-02,MGA/Broker,active
Disappeared - Short-lived,0002000208,Kepler Group Ltd,"Manager, Data Strategy & Analytics","New York City, New York",94500.0,115500.0,2026-07-19,2026-08-02,MGA/Broker,active
