change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0002000208,Kepler Group Ltd,Data Strategy & Analytics Senior Analyst (Pharma Account),"New York City, New York",73500,85000,2026-08-30,2026-08-30,MGA/Broker,active
New Posting,0002000208,Kepler Group Ltd,"Senior Analyst, Activation","New York City, New York",73500,85000,2026-06-13,2026-08-30,MGA/Broker,active
Disappeared,0002000208,Kepler Group Ltd,"Manager, Strategy & Activation","New York City, New York",90000.0,110000.0,2026-05-09,2026-08-30,MGA/Broker,active
