change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0000005272,AIG (American International Group),"Associate General Counsel, Cyber & Privacy Legal (New York)","Grand Central, Manhattan",170,200,2026-07-24,2026-08-19,Carrier,active
New Posting,0000005272,AIG (American International Group),Senior Cybersecurity & Regulatory Counsel (New York),"Grand Central, Manhattan",170,200,2026-07-24,2026-08-19,Carrier,active
Disappeared,0000005272,AIG (American International Group),Data Engineering Senior Associate,"Jersey City, Hudson County",96000.0,120000.0,2026-06-11,2026-08-19,Carrier,active
New Posting,0000896159,Chubb Limited,"Associate, Global Transformation Programs","Jersey City, Hudson County",136800,199200,2026-08-18,2026-08-19,Carrier,active
New Posting,0002000208,Kepler Group Ltd,"Senior Director, Product Marketing (New York)","Grand Central, Manhattan",176,204,2026-08-01,2026-08-19,MGA/Broker,active
New Posting,0002000208,Kepler Group Ltd,"Senior Analyst, Strategy","New York City, New York",73500,85000,2026-08-18,2026-08-19,MGA/Broker,active
Disappeared,0002000208,Kepler Group Ltd,"Manager, SEO","New York City, New York",90000.0,110000.0,2026-07-16,2026-08-19,MGA/Broker,active
