Company Name,CIK,NAIC Code,Ticker,Company Type,monitoring_status,notes,hq_city,hq_state,northeast_hq,northeast_jobs,tech_jobs_ne,verdict,qualification_notes
"Health In Tech, Inc.",0002019505,,HIT,MGA/Broker,active,"Insurance Agents, Brokers & Services",Stuart,FL,N,0,0,Skip,HQ FL; no NE jobs found
Huize Holding Ltd,0001778982,,HUIZ,MGA/Broker,active,"Insurance Agents, Brokers & Services",Shenzhen,,N,0,0,Skip,No NE address or jobs detected
INVESTORS TITLE CO,0000720858,,ITIC,Carrier,active,Title Insurance,Chapel Hill,NC,N,0,0,Skip,HQ NC; no NE jobs found
International General Insurance Holdings Ltd.,0001794338,,IGIC,Carrier,active,Insurance Carriers NEC,Amman,M2,N,0,0,Skip,HQ M2; no NE jobs found
MGIC INVESTMENT CORP,0000876437,,MTG,Carrier,active,Surety Insurance,Milwaukee,WI,N,0,0,Skip,HQ WI; no NE jobs found
"NMI Holdings, Inc.",0001547903,,NMIH,Carrier,active,Surety Insurance,Emeryville,CA,N,0,0,Skip,HQ CA; no NE jobs found
Neptune Insurance Holdings Inc.,0002067129,,NP,MGA/Broker,active,"Insurance Agents, Brokers & Services",St. Petersburg,FL,N,0,0,Skip,HQ FL; no NE jobs found
OLD REPUBLIC INTERNATIONAL CORP,0000074260,,ORI,Carrier,active,Surety Insurance,Chicago,IL,N,0,0,Skip,HQ IL; no NE jobs found
PARTNERRE LTD,0000911421,,PREJF,Carrier,active,Accident & Health Insurance,Pembroke,D0,N,0,0,Skip,HQ D0; no NE jobs found
PRINCIPAL FINANCIAL GROUP INC,0001126328,,PFG,Carrier,active,Accident & Health Insurance,Des Moines,IA,N,0,0,Skip,HQ IA; no NE jobs found
QDM International Inc.,0001094032,,QDMI,MGA/Broker,active,"Insurance Agents, Brokers & Services",Kowloon,K3,N,0,0,Skip,HQ K3; no NE jobs found
Roadzen Inc.,0001868640,,RDZNW,MGA/Broker,active,"Insurance Agents, Brokers & Services",Burlingame,CA,N,0,0,Skip,HQ CA; no NE jobs found
"eHealth, Inc.",0001333493,,EHTH,MGA/Broker,active,"Insurance Agents, Brokers & Services",Indianapolis,IN,N,0,0,Skip,HQ IN; no NE jobs found
